Year,Volume,Growth (%)
2015,1638819.0,
2016,1604054.0,-2.12134470005535
2017,1535695.0,-4.261639570737641
2018,1506402.0,-1.9074751171293758
2019,1463545.0,-2.8449909121204042
2020,1473442.0,0.67623475875358
2021,1461286.0,-0.8250070243687957
2022,1410364.0,-3.484738784878527
2023,1437771.0,1.943257201686932
2024,1392318.0,-3.161351842539595
2025,565959.0,-59.3513119847621
